Ingredient,Pairings,Bad Pairings,Cuisine,Season,Health Insight,Carbs (g),Proteins (g),Vitamins
Brussels Sprouts,"['Lemon', 'Parmesan', 'Rosemary']","['Vinegar', 'Orange']",Chinese,Spring,Good for Heart Health,20,2,"['E', 'B']"
Apple,"['Honey', 'Thyme', 'Olive Oil']","['Milk', 'Chocolate']",French,Winter,High in Protein,20,12,"['E', 'A']"
Asparagus,"['Honey', 'Thyme', 'Parmesan']","['Cucumber', 'Coffee']",American,Spring,High in Protein,5,12,"['K', 'A']"
Beef,"['Honey', 'Soy Sauce', 'Rosemary']","['Cucumber', 'Tea']",American,Fall,Good for Heart Health,5,2,"['D', 'E']"
Carrot,"['Garlic', 'Thyme', 'Rosemary']","['Ketchup', 'Chocolate']",Korean,Winter,Supports Digestion,5,5,"['A', 'C']"
Brussels Sprouts,"['Soy Sauce', 'Honey', 'Parmesan']","['Milk', 'Orange']",Thai,Summer,High in Protein,20,15,"['B', 'E']"
Mushroom,"['Thyme', 'Soy Sauce', 'Basil']","['Orange', 'Coffee']",Italian,Spring,Good for Heart Health,10,15,"['C', 'K']"
Tomato,"['Olive Oil', 'Lemon', 'Ginger']","['Peanut Butter', 'Ketchup']",Mexican,Fall,Supports Digestion,30,5,"['D', 'E']"
Brussels Sprouts,"['Rosemary', 'Thyme', 'Ginger']","['Cucumber', 'Tea']",Indian,Summer,Supports Digestion,20,2,"['K', 'A']"
Chicken,"['Ginger', 'Olive Oil', 'Rosemary']","['Cucumber', 'Peanut Butter']",Korean,Summer,Supports Digestion,5,2,"['E', 'A']"
Salmon,"['Garlic', 'Rosemary', 'Ginger']","['Milk', 'Ketchup']",French,Winter,Good for Heart Health,20,15,"['D', 'K']"
Brussels Sprouts,"['Rosemary', 'Soy Sauce', 'Honey']","['Cucumber', 'Tea']",Mediterranean,Winter,High in Protein,5,8,"['A', 'D']"
Mushroom,"['Olive Oil', 'Thyme', 'Ginger']","['Ketchup', 'Chocolate']",Korean,Winter,High in Protein,25,2,"['A', 'C']"
Pumpkin,"['Basil', 'Lemon', 'Olive Oil']","['Chocolate', 'Coffee']",Mexican,Summer,Boosts Immunity,15,5,"['C', 'E']"
Tomato,"['Lemon', 'Rosemary', 'Thyme']","['Coffee', 'Orange']",Mexican,Spring,Supports Digestion,5,18,"['E', 'A']"
Chicken,"['Lemon', 'Soy Sauce', 'Thyme']","['Chocolate', 'Vinegar']",Korean,Fall,Supports Digestion,20,2,"['B', 'C']"
Mushroom,"['Basil', 'Soy Sauce', 'Rosemary']","['Banana', 'Tea']",Indian,Summer,Boosts Immunity,5,5,"['C', 'K']"
Mushroom,"['Thyme', 'Parmesan', 'Ginger']","['Peanut Butter', 'Coffee']",French,Winter,Good for Heart Health,10,5,"['E', 'A']"
Tomato,"['Soy Sauce', 'Thyme', 'Olive Oil']","['Chocolate', 'Ketchup']",American,Spring,Good for Heart Health,25,8,"['C', 'D']"
Brussels Sprouts,"['Honey', 'Garlic', 'Basil']","['Milk', 'Cucumber']",Indian,Spring,Supports Digestion,30,12,"['B', 'K']"
Mushroom,"['Basil', 'Lemon', 'Parmesan']","['Peanut Butter', 'Milk']",Mediterranean,Winter,Rich in Antioxidants,10,18,"['C', 'A']"
Mushroom,"['Rosemary', 'Olive Oil', 'Thyme']","['Cucumber', 'Tea']",Indian,Fall,Boosts Immunity,25,12,"['K', 'A']"
Salmon,"['Basil', 'Garlic', 'Olive Oil']","['Chocolate', 'Coffee']",Mexican,Fall,Rich in Antioxidants,20,5,"['B', 'K']"
Apple,"['Thyme', 'Ginger', 'Basil']","['Orange', 'Tea']",Korean,Summer,Good for Heart Health,5,2,"['C', 'A']"
Carrot,"['Garlic', 'Parmesan', 'Soy Sauce']","['Chocolate', 'Vinegar']",French,Winter,Boosts Immunity,25,8,"['A', 'E']"
Pumpkin,"['Rosemary', 'Parmesan', 'Lemon']","['Chocolate', 'Orange']",Chinese,Summer,Rich in Antioxidants,10,15,"['D', 'B']"
Pumpkin,"['Soy Sauce', 'Ginger', 'Lemon']","['Orange', 'Chocolate']",American,Spring,Rich in Antioxidants,5,8,"['K', 'A']"
Brussels Sprouts,"['Olive Oil', 'Thyme', 'Ginger']","['Banana', 'Vinegar']",Italian,Winter,Rich in Antioxidants,30,2,"['D', 'B']"
Pumpkin,"['Thyme', 'Olive Oil', 'Parmesan']","['Peanut Butter', 'Banana']",Italian,Fall,Good for Heart Health,10,5,"['D', 'K']"
Mushroom,"['Parmesan', 'Honey', 'Garlic']","['Peanut Butter', 'Chocolate']",Thai,Fall,Boosts Immunity,20,15,"['B', 'A']"
Chicken,"['Garlic', 'Basil', 'Parmesan']","['Cucumber', 'Peanut Butter']",Indian,Summer,Supports Digestion,30,15,"['B', 'A']"
Pumpkin,"['Ginger', 'Rosemary', 'Basil']","['Orange', 'Peanut Butter']",Chinese,Summer,Rich in Antioxidants,5,15,"['A', 'B']"
Asparagus,"['Rosemary', 'Soy Sauce', 'Olive Oil']","['Milk', 'Tea']",Thai,Summer,Good for Heart Health,10,5,"['K', 'A']"
Carrot,"['Olive Oil', 'Rosemary', 'Ginger']","['Cucumber', 'Peanut Butter']",French,Spring,High in Protein,20,15,"['A', 'B']"
Brussels Sprouts,"['Garlic', 'Honey', 'Parmesan']","['Milk', 'Chocolate']",Italian,Spring,Rich in Antioxidants,30,15,"['K', 'E']"
Beef,"['Lemon', 'Garlic', 'Olive Oil']","['Coffee', 'Orange']",Korean,Fall,Good for Heart Health,30,15,"['C', 'E']"
Carrot,"['Ginger', 'Garlic', 'Basil']","['Orange', 'Chocolate']",American,Fall,Rich in Antioxidants,15,15,"['E', 'A']"
Apple,"['Olive Oil', 'Basil', 'Thyme']","['Milk', 'Vinegar']",French,Fall,High in Protein,25,2,"['D', 'A']"
Tomato,"['Basil', 'Ginger', 'Honey']","['Cucumber', 'Vinegar']",Italian,Winter,High in Protein,5,12,"['K', 'D']"
Asparagus,"['Rosemary', 'Basil', 'Soy Sauce']","['Milk', 'Coffee']",American,Winter,Supports Digestion,5,12,"['B', 'C']"
Tomato,"['Ginger', 'Honey', 'Olive Oil']","['Chocolate', 'Orange']",Mediterranean,Spring,Supports Digestion,15,8,"['C', 'A']"
Carrot,"['Parmesan', 'Rosemary', 'Lemon']","['Peanut Butter', 'Coffee']",Thai,Spring,High in Protein,20,15,"['A', 'B']"
Apple,"['Ginger', 'Soy Sauce', 'Parmesan']","['Banana', 'Coffee']",Chinese,Summer,Rich in Antioxidants,20,18,"['E', 'K']"
Apple,"['Honey', 'Thyme', 'Parmesan']","['Cucumber', 'Tea']",French,Spring,Rich in Antioxidants,10,15,"['C', 'A']"
Asparagus,"['Ginger', 'Garlic', 'Honey']","['Coffee', 'Tea']",French,Summer,Boosts Immunity,25,2,"['C', 'D']"
Salmon,"['Soy Sauce', 'Olive Oil', 'Ginger']","['Peanut Butter', 'Orange']",Chinese,Spring,High in Protein,5,12,"['C', 'E']"
Tomato,"['Rosemary', 'Thyme', 'Olive Oil']","['Peanut Butter', 'Tea']",Korean,Summer,Rich in Antioxidants,10,2,"['E', 'B']"
Asparagus,"['Lemon', 'Olive Oil', 'Garlic']","['Peanut Butter', 'Orange']",Mediterranean,Winter,Supports Digestion,15,12,"['A', 'D']"
Asparagus,"['Garlic', 'Rosemary', 'Honey']","['Chocolate', 'Ketchup']",Thai,Spring,Supports Digestion,20,2,"['E', 'K']"
Brussels Sprouts,"['Basil', 'Ginger', 'Parmesan']","['Ketchup', 'Cucumber']",Indian,Fall,Supports Digestion,25,12,"['K', 'E']"
Brussels Sprouts,"['Olive Oil', 'Lemon', 'Honey']","['Chocolate', 'Banana']",French,Winter,Boosts Immunity,20,2,"['D', 'K']"
Pumpkin,"['Lemon', 'Thyme', 'Garlic']","['Vinegar', 'Coffee']",Chinese,Fall,Good for Heart Health,25,18,"['A', 'D']"
Tomato,"['Parmesan', 'Basil', 'Garlic']","['Tea', 'Orange']",Chinese,Summer,Supports Digestion,20,2,"['C', 'D']"
Salmon,"['Soy Sauce', 'Ginger', 'Lemon']","['Tea', 'Vinegar']",Korean,Fall,Good for Heart Health,25,8,"['K', 'D']"
Brussels Sprouts,"['Thyme', 'Honey', 'Garlic']","['Coffee', 'Cucumber']",American,Winter,Supports Digestion,30,12,"['D', 'K']"
Chicken,"['Basil', 'Ginger', 'Olive Oil']","['Milk', 'Orange']",Korean,Summer,Boosts Immunity,30,2,"['K', 'C']"
Beef,"['Olive Oil', 'Parmesan', 'Basil']","['Vinegar', 'Chocolate']",Korean,Summer,Rich in Antioxidants,20,18,"['B', 'A']"
Mushroom,"['Ginger', 'Honey', 'Rosemary']","['Chocolate', 'Coffee']",Italian,Spring,High in Protein,10,2,"['A', 'C']"
Brussels Sprouts,"['Lemon', 'Olive Oil', 'Ginger']","['Banana', 'Orange']",American,Summer,Rich in Antioxidants,30,15,"['C', 'A']"
Chicken,"['Parmesan', 'Rosemary', 'Olive Oil']","['Tea', 'Banana']",Chinese,Spring,Supports Digestion,15,12,"['A', 'K']"
Brussels Sprouts,"['Basil', 'Ginger', 'Parmesan']","['Banana', 'Chocolate']",Mediterranean,Fall,Supports Digestion,20,15,"['B', 'E']"
Brussels Sprouts,"['Soy Sauce', 'Garlic', 'Thyme']","['Chocolate', 'Cucumber']",Mexican,Summer,Boosts Immunity,30,2,"['A', 'C']"
Apple,"['Lemon', 'Olive Oil', 'Ginger']","['Banana', 'Orange']",Italian,Fall,Rich in Antioxidants,15,12,"['A', 'E']"
Pumpkin,"['Honey', 'Olive Oil', 'Lemon']","['Banana', 'Ketchup']",Japanese,Summer,Good for Heart Health,15,15,"['E', 'D']"
Tomato,"['Rosemary', 'Lemon', 'Ginger']","['Coffee', 'Cucumber']",Korean,Winter,Rich in Antioxidants,20,5,"['E', 'A']"
Carrot,"['Basil', 'Thyme', 'Soy Sauce']","['Coffee', 'Ketchup']",Indian,Spring,Rich in Antioxidants,15,18,"['D', 'K']"
Salmon,"['Parmesan', 'Olive Oil', 'Lemon']","['Vinegar', 'Chocolate']",Chinese,Summer,Good for Heart Health,10,2,"['C', 'E']"
Pumpkin,"['Olive Oil', 'Parmesan', 'Thyme']","['Peanut Butter', 'Chocolate']",Mexican,Winter,Boosts Immunity,25,8,"['D', 'E']"
Chicken,"['Soy Sauce', 'Honey', 'Garlic']","['Coffee', 'Vinegar']",Japanese,Fall,High in Protein,15,5,"['A', 'B']"
Asparagus,"['Ginger', 'Garlic', 'Honey']","['Cucumber', 'Chocolate']",Indian,Winter,Supports Digestion,10,15,"['A', 'K']"
Asparagus,"['Olive Oil', 'Parmesan', 'Thyme']","['Tea', 'Milk']",Korean,Fall,Boosts Immunity,30,5,"['E', 'D']"
Chicken,"['Honey', 'Olive Oil', 'Lemon']","['Chocolate', 'Milk']",Korean,Summer,Supports Digestion,10,18,"['C', 'B']"
Carrot,"['Soy Sauce', 'Parmesan', 'Honey']","['Banana', 'Orange']",Italian,Fall,High in Protein,30,12,"['C', 'B']"
Tomato,"['Garlic', 'Ginger', 'Rosemary']","['Chocolate', 'Vinegar']",Mexican,Spring,Supports Digestion,5,12,"['B', 'A']"
Asparagus,"['Basil', 'Soy Sauce', 'Ginger']","['Orange', 'Ketchup']",American,Winter,Boosts Immunity,25,8,"['D', 'C']"
Tomato,"['Ginger', 'Parmesan', 'Lemon']","['Banana', 'Coffee']",Indian,Fall,High in Protein,25,8,"['A', 'K']"
Asparagus,"['Parmesan', 'Rosemary', 'Thyme']","['Peanut Butter', 'Vinegar']",French,Spring,Rich in Antioxidants,25,15,"['B', 'E']"
Pumpkin,"['Honey', 'Olive Oil', 'Soy Sauce']","['Ketchup', 'Chocolate']",Korean,Winter,High in Protein,20,5,"['D', 'E']"
Beef,"['Thyme', 'Parmesan', 'Honey']","['Vinegar', 'Coffee']",Korean,Spring,Rich in Antioxidants,30,12,"['A', 'E']"
Apple,"['Honey', 'Garlic', 'Basil']","['Banana', 'Coffee']",Japanese,Spring,Boosts Immunity,15,18,"['E', 'D']"
Asparagus,"['Olive Oil', 'Soy Sauce', 'Basil']","['Ketchup', 'Coffee']",American,Fall,Boosts Immunity,30,15,"['D', 'A']"
Mushroom,"['Lemon', 'Thyme', 'Soy Sauce']","['Ketchup', 'Chocolate']",Indian,Summer,Supports Digestion,15,2,"['C', 'B']"
Pumpkin,"['Soy Sauce', 'Garlic', 'Rosemary']","['Ketchup', 'Peanut Butter']",Japanese,Winter,Supports Digestion,15,12,"['C', 'E']"
Carrot,"['Parmesan', 'Soy Sauce', 'Lemon']","['Ketchup', 'Banana']",Chinese,Spring,Supports Digestion,30,2,"['C', 'K']"
Carrot,"['Parmesan', 'Basil', 'Thyme']","['Coffee', 'Tea']",Indian,Fall,Supports Digestion,20,12,"['C', 'E']"
Chicken,"['Thyme', 'Basil', 'Ginger']","['Milk', 'Tea']",French,Spring,Good for Heart Health,20,18,"['K', 'B']"
Pumpkin,"['Soy Sauce', 'Rosemary', 'Ginger']","['Cucumber', 'Ketchup']",Mexican,Summer,Boosts Immunity,10,12,"['B', 'A']"
Mushroom,"['Basil', 'Soy Sauce', 'Honey']","['Vinegar', 'Chocolate']",American,Fall,Good for Heart Health,20,2,"['B', 'D']"
Carrot,"['Rosemary', 'Olive Oil', 'Parmesan']","['Ketchup', 'Milk']",American,Summer,Supports Digestion,15,5,"['A', 'E']"
Chicken,"['Thyme', 'Garlic', 'Basil']","['Peanut Butter', 'Tea']",Mexican,Fall,Good for Heart Health,25,5,"['A', 'K']"
Salmon,"['Rosemary', 'Basil', 'Garlic']","['Tea', 'Chocolate']",Korean,Fall,High in Protein,30,5,"['A', 'B']"
Chicken,"['Lemon', 'Garlic', 'Basil']","['Vinegar', 'Coffee']",Japanese,Spring,Boosts Immunity,5,2,"['D', 'E']"
Apple,"['Thyme', 'Honey', 'Lemon']","['Milk', 'Peanut Butter']",French,Spring,Rich in Antioxidants,25,2,"['E', 'D']"
Beef,"['Rosemary', 'Ginger', 'Lemon']","['Tea', 'Chocolate']",Thai,Winter,Supports Digestion,15,18,"['C', 'A']"
Pumpkin,"['Basil', 'Soy Sauce', 'Garlic']","['Chocolate', 'Cucumber']",Thai,Fall,High in Protein,15,12,"['D', 'C']"
Pumpkin,"['Garlic', 'Lemon', 'Ginger']","['Banana', 'Vinegar']",Thai,Winter,Supports Digestion,20,12,"['D', 'A']"
Apple,"['Soy Sauce', 'Thyme', 'Lemon']","['Cucumber', 'Vinegar']",Japanese,Winter,High in Protein,5,12,"['K', 'C']"
Pumpkin,"['Garlic', 'Soy Sauce', 'Lemon']","['Orange', 'Peanut Butter']",Korean,Winter,High in Protein,20,2,"['E', 'D']"
Asparagus,"['Lemon', 'Honey', 'Ginger']","['Coffee', 'Chocolate']",Mediterranean,Winter,Supports Digestion,10,18,"['B', 'E']"
Beef,"['Soy Sauce', 'Honey', 'Garlic']","['Cucumber', 'Ketchup']",Thai,Fall,High in Protein,15,15,"['D', 'K']"
Mushroom,"['Ginger', 'Honey', 'Parmesan']","['Chocolate', 'Peanut Butter']",Indian,Summer,Supports Digestion,10,5,"['A', 'D']"
Brussels Sprouts,"['Parmesan', 'Garlic', 'Olive Oil']","['Orange', 'Milk']",Korean,Winter,Good for Heart Health,15,15,"['E', 'D']"
Pumpkin,"['Basil', 'Olive Oil', 'Rosemary']","['Milk', 'Coffee']",Indian,Winter,Good for Heart Health,25,8,"['E', 'B']"
Tomato,"['Thyme', 'Ginger', 'Honey']","['Orange', 'Coffee']",Thai,Fall,Good for Heart Health,5,18,"['K', 'A']"
Mushroom,"['Soy Sauce', 'Thyme', 'Garlic']","['Tea', 'Cucumber']",Mediterranean,Spring,Good for Heart Health,30,2,"['D', 'E']"
Pumpkin,"['Basil', 'Rosemary', 'Garlic']","['Coffee', 'Milk']",Thai,Summer,Boosts Immunity,5,12,"['C', 'D']"
Brussels Sprouts,"['Soy Sauce', 'Thyme', 'Rosemary']","['Orange', 'Coffee']",Korean,Winter,Supports Digestion,10,18,"['D', 'C']"
Tomato,"['Honey', 'Garlic', 'Parmesan']","['Coffee', 'Cucumber']",Mexican,Summer,Good for Heart Health,10,5,"['D', 'K']"
Brussels Sprouts,"['Olive Oil', 'Basil', 'Rosemary']","['Vinegar', 'Coffee']",Thai,Spring,Rich in Antioxidants,20,2,"['C', 'K']"
Mushroom,"['Garlic', 'Lemon', 'Honey']","['Tea', 'Banana']",Japanese,Summer,Boosts Immunity,30,15,"['D', 'C']"
Chicken,"['Lemon', 'Basil', 'Garlic']","['Tea', 'Cucumber']",Indian,Summer,Supports Digestion,25,12,"['D', 'E']"
Mushroom,"['Lemon', 'Garlic', 'Honey']","['Tea', 'Milk']",American,Fall,Good for Heart Health,20,8,"['K', 'E']"
Salmon,"['Thyme', 'Garlic', 'Ginger']","['Banana', 'Orange']",French,Fall,Rich in Antioxidants,5,18,"['A', 'B']"
Brussels Sprouts,"['Ginger', 'Soy Sauce', 'Olive Oil']","['Orange', 'Peanut Butter']",Mediterranean,Fall,Boosts Immunity,15,12,"['K', 'D']"
Tomato,"['Thyme', 'Parmesan', 'Olive Oil']","['Ketchup', 'Peanut Butter']",French,Winter,Boosts Immunity,25,15,"['K', 'D']"
Pumpkin,"['Soy Sauce', 'Honey', 'Olive Oil']","['Banana', 'Tea']",Japanese,Spring,Rich in Antioxidants,5,15,"['C', 'D']"
Carrot,"['Soy Sauce', 'Rosemary', 'Basil']","['Coffee', 'Chocolate']",Thai,Summer,Good for Heart Health,10,5,"['K', 'E']"
Brussels Sprouts,"['Honey', 'Ginger', 'Parmesan']","['Ketchup', 'Cucumber']",French,Winter,Supports Digestion,25,2,"['E', 'D']"
Apple,"['Thyme', 'Lemon', 'Ginger']","['Vinegar', 'Tea']",Chinese,Winter,Boosts Immunity,20,12,"['E', 'K']"
Tomato,"['Thyme', 'Garlic', 'Lemon']","['Banana', 'Vinegar']",Mexican,Summer,Good for Heart Health,10,2,"['B', 'K']"
Mushroom,"['Soy Sauce', 'Lemon', 'Ginger']","['Chocolate', 'Coffee']",Italian,Summer,Boosts Immunity,20,8,"['K', 'E']"
Carrot,"['Lemon', 'Honey', 'Ginger']","['Milk', 'Chocolate']",Italian,Fall,Good for Heart Health,10,2,"['D', 'K']"
Beef,"['Garlic', 'Basil', 'Rosemary']","['Chocolate', 'Banana']",Thai,Spring,Good for Heart Health,30,12,"['E', 'B']"
Brussels Sprouts,"['Rosemary', 'Honey', 'Lemon']","['Orange', 'Banana']",Mexican,Spring,Rich in Antioxidants,5,8,"['B', 'E']"
Brussels Sprouts,"['Lemon', 'Honey', 'Basil']","['Tea', 'Peanut Butter']",Indian,Spring,Supports Digestion,20,5,"['B', 'C']"
Brussels Sprouts,"['Garlic', 'Parmesan', 'Honey']","['Chocolate', 'Orange']",Chinese,Spring,High in Protein,15,2,"['A', 'K']"
Mushroom,"['Ginger', 'Olive Oil', 'Thyme']","['Banana', 'Tea']",Korean,Winter,Boosts Immunity,10,18,"['E', 'C']"
Pumpkin,"['Basil', 'Parmesan', 'Lemon']","['Chocolate', 'Banana']",Korean,Winter,Good for Heart Health,5,5,"['E', 'B']"
Brussels Sprouts,"['Ginger', 'Thyme', 'Garlic']","['Milk', 'Tea']",American,Winter,Good for Heart Health,20,12,"['D', 'A']"
Asparagus,"['Thyme', 'Lemon', 'Soy Sauce']","['Cucumber', 'Coffee']",Japanese,Spring,High in Protein,25,18,"['E', 'C']"
Pumpkin,"['Lemon', 'Basil', 'Honey']","['Ketchup', 'Peanut Butter']",American,Fall,High in Protein,10,12,"['E', 'A']"
Tomato,"['Basil', 'Thyme', 'Olive Oil']","['Ketchup', 'Orange']",Chinese,Fall,Supports Digestion,25,8,"['B', 'C']"
Chicken,"['Honey', 'Rosemary', 'Olive Oil']","['Coffee', 'Orange']",Italian,Winter,High in Protein,15,18,"['K', 'D']"
Carrot,"['Lemon', 'Rosemary', 'Basil']","['Cucumber', 'Chocolate']",Italian,Spring,Good for Heart Health,30,15,"['D', 'B']"
Beef,"['Basil', 'Olive Oil', 'Ginger']","['Banana', 'Ketchup']",Mexican,Fall,Boosts Immunity,5,5,"['E', 'B']"
Beef,"['Soy Sauce', 'Thyme', 'Basil']","['Orange', 'Cucumber']",Mediterranean,Spring,Supports Digestion,15,12,"['D', 'E']"
Asparagus,"['Olive Oil', 'Thyme', 'Basil']","['Ketchup', 'Banana']",French,Summer,Boosts Immunity,20,12,"['C', 'B']"
Pumpkin,"['Garlic', 'Lemon', 'Ginger']","['Cucumber', 'Coffee']",Italian,Summer,High in Protein,5,12,"['C', 'K']"
Apple,"['Garlic', 'Parmesan', 'Olive Oil']","['Ketchup', 'Peanut Butter']",Mediterranean,Fall,Rich in Antioxidants,5,8,"['C', 'K']"
Brussels Sprouts,"['Parmesan', 'Olive Oil', 'Basil']","['Orange', 'Tea']",Thai,Fall,Rich in Antioxidants,30,15,"['K', 'B']"
Mushroom,"['Garlic', 'Basil', 'Ginger']","['Ketchup', 'Tea']",Mediterranean,Summer,Rich in Antioxidants,10,2,"['E', 'D']"
Beef,"['Basil', 'Rosemary', 'Soy Sauce']","['Chocolate', 'Peanut Butter']",Japanese,Spring,Rich in Antioxidants,10,18,"['D', 'K']"
Mushroom,"['Honey', 'Olive Oil', 'Ginger']","['Banana', 'Vinegar']",Mediterranean,Spring,Supports Digestion,15,5,"['K', 'A']"
Tomato,"['Ginger', 'Thyme', 'Lemon']","['Coffee', 'Milk']",Japanese,Summer,Good for Heart Health,5,12,"['A', 'C']"
Tomato,"['Lemon', 'Ginger', 'Basil']","['Coffee', 'Banana']",Mediterranean,Winter,Good for Heart Health,15,18,"['E', 'B']"
Asparagus,"['Thyme', 'Lemon', 'Olive Oil']","['Chocolate', 'Vinegar']",Japanese,Summer,Supports Digestion,10,18,"['A', 'C']"
Beef,"['Rosemary', 'Basil', 'Ginger']","['Chocolate', 'Ketchup']",Mexican,Fall,Rich in Antioxidants,10,5,"['B', 'C']"
Mushroom,"['Honey', 'Rosemary', 'Parmesan']","['Cucumber', 'Vinegar']",French,Fall,High in Protein,25,5,"['C', 'E']"
Chicken,"['Soy Sauce', 'Thyme', 'Olive Oil']","['Cucumber', 'Vinegar']",Indian,Spring,Rich in Antioxidants,25,8,"['B', 'K']"
Pumpkin,"['Garlic', 'Ginger', 'Soy Sauce']","['Tea', 'Coffee']",Indian,Winter,Supports Digestion,15,2,"['A', 'E']"
Pumpkin,"['Garlic', 'Rosemary', 'Olive Oil']","['Coffee', 'Milk']",American,Spring,Good for Heart Health,5,12,"['E', 'C']"
Pumpkin,"['Parmesan', 'Honey', 'Garlic']","['Coffee', 'Orange']",American,Winter,Good for Heart Health,5,8,"['D', 'K']"
Pumpkin,"['Olive Oil', 'Lemon', 'Honey']","['Cucumber', 'Chocolate']",Japanese,Fall,Good for Heart Health,20,15,"['K', 'C']"
Mushroom,"['Garlic', 'Ginger', 'Parmesan']","['Milk', 'Vinegar']",American,Spring,Supports Digestion,25,5,"['K', 'A']"
Tomato,"['Soy Sauce', 'Thyme', 'Garlic']","['Tea', 'Chocolate']",Thai,Spring,Supports Digestion,15,8,"['A', 'K']"
Salmon,"['Rosemary', 'Honey', 'Olive Oil']","['Chocolate', 'Milk']",American,Spring,Good for Heart Health,30,2,"['K', 'E']"
Tomato,"['Lemon', 'Parmesan', 'Soy Sauce']","['Cucumber', 'Tea']",Chinese,Fall,Good for Heart Health,5,18,"['D', 'K']"
Apple,"['Basil', 'Ginger', 'Olive Oil']","['Vinegar', 'Ketchup']",Japanese,Spring,Supports Digestion,15,12,"['B', 'E']"
Pumpkin,"['Olive Oil', 'Garlic', 'Ginger']","['Peanut Butter', 'Chocolate']",Korean,Spring,Supports Digestion,5,8,"['C', 'K']"
Pumpkin,"['Thyme', 'Parmesan', 'Ginger']","['Orange', 'Peanut Butter']",Thai,Fall,Good for Heart Health,15,5,"['E', 'B']"
Carrot,"['Garlic', 'Soy Sauce', 'Basil']","['Peanut Butter', 'Cucumber']",Indian,Winter,Rich in Antioxidants,20,15,"['C', 'B']"
Mushroom,"['Parmesan', 'Soy Sauce', 'Garlic']","['Coffee', 'Chocolate']",French,Winter,High in Protein,5,2,"['B', 'E']"
Asparagus,"['Rosemary', 'Thyme', 'Parmesan']","['Coffee', 'Vinegar']",Mexican,Summer,Supports Digestion,25,2,"['B', 'C']"
Pumpkin,"['Garlic', 'Rosemary', 'Soy Sauce']","['Vinegar', 'Tea']",American,Winter,Rich in Antioxidants,30,18,"['B', 'C']"
Chicken,"['Ginger', 'Soy Sauce', 'Thyme']","['Milk', 'Vinegar']",Mexican,Spring,Rich in Antioxidants,25,15,"['D', 'C']"
Pumpkin,"['Lemon', 'Garlic', 'Parmesan']","['Ketchup', 'Coffee']",French,Spring,Good for Heart Health,20,2,"['A', 'K']"
Asparagus,"['Lemon', 'Ginger', 'Parmesan']","['Milk', 'Banana']",Mexican,Summer,Supports Digestion,20,12,"['E', 'A']"
Tomato,"['Olive Oil', 'Garlic', 'Rosemary']","['Banana', 'Cucumber']",Chinese,Summer,Boosts Immunity,25,8,"['B', 'A']"
Salmon,"['Thyme', 'Basil', 'Soy Sauce']","['Vinegar', 'Cucumber']",French,Winter,Good for Heart Health,5,8,"['C', 'B']"
Carrot,"['Honey', 'Olive Oil', 'Garlic']","['Ketchup', 'Orange']",Mexican,Spring,High in Protein,30,8,"['B', 'K']"
Pumpkin,"['Olive Oil', 'Ginger', 'Lemon']","['Peanut Butter', 'Chocolate']",Mexican,Summer,Boosts Immunity,20,5,"['E', 'B']"
Apple,"['Honey', 'Rosemary', 'Basil']","['Vinegar', 'Banana']",Indian,Fall,Rich in Antioxidants,20,2,"['K', 'D']"
Apple,"['Parmesan', 'Thyme', 'Olive Oil']","['Ketchup', 'Chocolate']",Japanese,Fall,Rich in Antioxidants,15,12,"['K', 'A']"
Beef,"['Parmesan', 'Ginger', 'Garlic']","['Tea', 'Chocolate']",Chinese,Fall,High in Protein,15,12,"['K', 'D']"
Salmon,"['Thyme', 'Rosemary', 'Garlic']","['Tea', 'Cucumber']",Indian,Fall,Boosts Immunity,25,15,"['C', 'A']"
Brussels Sprouts,"['Rosemary', 'Ginger', 'Parmesan']","['Cucumber', 'Ketchup']",American,Summer,High in Protein,10,12,"['K', 'C']"
Apple,"['Ginger', 'Garlic', 'Soy Sauce']","['Tea', 'Coffee']",Chinese,Winter,Good for Heart Health,5,12,"['A', 'E']"
Beef,"['Ginger', 'Soy Sauce', 'Parmesan']","['Tea', 'Banana']",American,Spring,Good for Heart Health,20,2,"['A', 'C']"
Chicken,"['Parmesan', 'Olive Oil', 'Ginger']","['Peanut Butter', 'Vinegar']",Mediterranean,Summer,Rich in Antioxidants,30,5,"['K', 'B']"
Carrot,"['Garlic', 'Ginger', 'Parmesan']","['Vinegar', 'Coffee']",Thai,Fall,Boosts Immunity,5,8,"['K', 'C']"
Apple,"['Rosemary', 'Thyme', 'Soy Sauce']","['Ketchup', 'Vinegar']",Japanese,Summer,Boosts Immunity,15,12,"['C', 'E']"
Mushroom,"['Lemon', 'Basil', 'Garlic']","['Cucumber', 'Peanut Butter']",Indian,Summer,Supports Digestion,25,5,"['D', 'E']"
Salmon,"['Ginger', 'Honey', 'Garlic']","['Tea', 'Cucumber']",Mediterranean,Summer,Good for Heart Health,30,2,"['C', 'B']"
Beef,"['Parmesan', 'Soy Sauce', 'Ginger']","['Cucumber', 'Banana']",French,Fall,Supports Digestion,20,8,"['K', 'C']"
Salmon,"['Ginger', 'Soy Sauce', 'Honey']","['Tea', 'Vinegar']",Italian,Spring,Rich in Antioxidants,5,5,"['E', 'C']"
Tomato,"['Garlic', 'Lemon', 'Olive Oil']","['Milk', 'Ketchup']",Thai,Winter,Good for Heart Health,20,2,"['K', 'A']"
